"case","code","img_small","por","rrp","sub_cat_code","temperature","wsp"
"","257205","https://media.booker.co.uk/1/3ff1f9d1-0461-4046-8774-056fe62f2af0.jpg","","","CS13_200450","Frozen"," 10.99"
"2","284837","https://media.booker.co.uk/1/d0a5ad0a-5cc3-4bed-a060-571cafa4e241.jpg","","","CS13_200450","Frozen"," 23.99"
"","284838","https://media.booker.co.uk/1/d0a5ad0a-5cc3-4bed-a060-571cafa4e241.jpg","","","CS13_200450","Frozen"," 11.99"
"","282704","https://media.booker.co.uk/1/b3fb5782-7ee3-40e7-a160-67dd493c824c.jpg","","","CS13_200450","Frozen"," 22.49"
"","66963","https://media.booker.co.uk/1/ba69fdd5-67a9-41df-b2ea-79a21fe22668.jpg","","","CS13_200450","Frozen"," 29.99"
"","286605","https://media.booker.co.uk/1/556b2be1-e3a4-4f95-972b-60f3a00eaa36.jpg","","","CS13_200450","Frozen"," 24.99"
"","66962","https://media.booker.co.uk/1/5e28dfe7-3976-4a6f-8181-6c36252377bd.jpg","","","CS13_200450","Frozen"," 16.99"
"6","144314","https://media.booker.co.uk/1/905fa598-d2dc-4b4b-8547-293a23325eb7.jpg","","","CS13_200450","Frozen"," 119.95"
"","144315","https://media.booker.co.uk/1/905fa598-d2dc-4b4b-8547-293a23325eb7.jpg","","","CS13_200450","Frozen"," 19.99"
"","213297","https://media.booker.co.uk/1/e36dc2d4-a300-40f3-a6c9-0ac113f9ef45.jpg","","","CS13_200450","Frozen"," 22.99"
"","285689","https://media.booker.co.uk/1/b47ddb97-11a4-4ef3-82c1-7f8b28e58ed8.jpg","","","CS13_200440","Frozen"," 10.99"
"","274949","https://media.booker.co.uk/1/b3f11a87-ab6e-4b6b-ada5-711f2ccc4de3.jpg","","","CS13_200440","Frozen"," 6.79"
"","256946","https://media.booker.co.uk/1/affee43f-de28-4e69-85a1-439ede4f4578.jpg","","","CS13_200440","Frozen"," 18.19"
"12","280452","https://media.booker.co.uk/1/92ca7961-e240-4198-a291-18939e734ed1.jpg","20.5","1.99","CS13_200440","Frozen"," 18.99"
"","280447","https://media.booker.co.uk/1/92ca7961-e240-4198-a291-18939e734ed1.jpg","20.1","1.99","CS13_200440","Frozen"," 1.59"
"8","190852","https://media.booker.co.uk/1/d90309a7-d57d-4c9f-a94b-900a0370f92d.jpg","","","CS13_200440","Frozen"," 55.89"
"","190853","https://media.booker.co.uk/1/d90309a7-d57d-4c9f-a94b-900a0370f92d.jpg","","","CS13_200440","Frozen"," 6.99"
"8","190854","https://media.booker.co.uk/1/d74635fd-a3b2-4f69-a9e0-cbff0aba6733.jpg","","","CS13_200440","Frozen"," 39.89"
"","190855","https://media.booker.co.uk/1/d74635fd-a3b2-4f69-a9e0-cbff0aba6733.jpg","","","CS13_200440","Frozen"," 4.99"
"","236725","https://media.booker.co.uk/1/7d82bcab-2592-46c8-bd18-8f6ace76f107.jpg","63.4","39.60","CS13_200440","Frozen"," 14.49"
"8","190779","https://media.booker.co.uk/1/ab7189e9-88e3-4398-bb45-551a0a4237e8.jpg","","","CS13_200440","Frozen"," 55.89"
"","190842","https://media.booker.co.uk/1/ab7189e9-88e3-4398-bb45-551a0a4237e8.jpg","","","CS13_200440","Frozen"," 6.99"
"","80763","https://media.booker.co.uk/1/e5190076-f889-46c1-88ec-0902cc877202.jpg","57.4","25.80","CS13_200440","Frozen"," 10.99"
"","80764","https://media.booker.co.uk/1/f0ce6a93-7873-4999-9335-88d21117e579.jpg","66.4","38.70","CS13_200440","Frozen"," 12.99"
"","283102","https://media.booker.co.uk/1/a023657b-ebc1-4281-8fb7-711f67056683.jpg","","","CS13_200440","Frozen"," 21.49"
"","279872","https://media.booker.co.uk/1/82dddcd4-a2a6-4bf1-89e8-c575b60faf78.jpg","","","CS13_200440","Frozen"," 11.79"
"","254968","https://media.booker.co.uk/1/ef925cea-3167-4c59-86d0-a0b44dcc8f63.jpg","","","CS13_200440","Frozen"," 27.49"
"","281545","https://media.booker.co.uk/1/edd14be4-5b75-4492-9c89-0059e0139dd7.jpg","","","CS13_200440","Frozen"," 8.29"
"","175544","https://media.booker.co.uk/1/d5e77a8a-3ddf-431c-8c9c-147620d4eb42.jpg","","","CS13_200440","Frozen"," 10.19"
"6","255987","https://media.booker.co.uk/1/72f56fc7-f1a1-46aa-97d2-416810761585.jpg","","","CS13_200440","Frozen"," 25.99"
"","255988","https://media.booker.co.uk/1/72f56fc7-f1a1-46aa-97d2-416810761585.jpg","","","CS13_200440","Frozen"," 4.49"
"","233352","https://media.booker.co.uk/1/0d38de97-ee27-4fe7-9cca-af9e662e5c7b.jpg","","","CS13_200440","Frozen"," 12.09"
"","281538","https://media.booker.co.uk/1/22d54526-e5ba-4254-988e-94c8d5655b1a.jpg","","","CS13_200440","Frozen"," 17.59"
"","612531","https://media.booker.co.uk/1/fce93fbd-0b88-41aa-940a-777038b1d553.jpg","","","CS13_200440","Frozen"," 8.99"
"","176690","https://media.booker.co.uk/1/c7046de6-5f85-42b6-808e-ccb9899dbe5a.jpg","","","CS13_200440","Frozen"," 11.39"
"","176692","https://media.booker.co.uk/1/fc3842c2-c231-448a-aea2-f84946d55b80.jpg","","","CS13_200440","Frozen"," 13.99"
"","77308","https://media.booker.co.uk/1/1db455f0-f802-42cc-a86d-550e4f6b0dcc.jpg","","","CS13_200440","Frozen"," 16.29"
