code,sub_cat_name,sub_cat_code
255115,Morning Goods,CS13_200140
539213,Morning Goods,CS13_200140
186198,Boxed Chocolates,CS13_200150
629260,Boxed Chocolates,CS13_200150
196199,Boxed Chocolates,CS13_200150
181648,Boxed Chocolates,CS13_200150
228433,Boxed Chocolates,CS13_200150
230339,Boxed Chocolates,CS13_200150
196350,Boxed Chocolates,CS13_200150
196362,Boxed Chocolates,CS13_200150
196348,Boxed Chocolates,CS13_200150
196349,Boxed Chocolates,CS13_200150
235719,Boxed Chocolates,CS13_200150
235722,Boxed Chocolates,CS13_200150
235716,Boxed Chocolates,CS13_200150
235717,Boxed Chocolates,CS13_200150
134376,Boxed Chocolates,CS13_200150
134377,Boxed Chocolates,CS13_200150
134378,Boxed Chocolates,CS13_200150
134382,Boxed Chocolates,CS13_200150
146516,Boxed Chocolates,CS13_200150
146517,Boxed Chocolates,CS13_200150
101466,Boxed Chocolates,CS13_200150
101467,Boxed Chocolates,CS13_200150
146343,Boxed Chocolates,CS13_200150
146344,Boxed Chocolates,CS13_200150
604587,Boxed Chocolates,CS13_200150
604595,Boxed Chocolates,CS13_200150
590646,Boxed Chocolates,CS13_200150
123437,Boxed Chocolates,CS13_200150
3044,Boxed Chocolates,CS13_200150
208001,Boxed Chocolates,CS13_200150
272581,Boxed Chocolates,CS13_200150
250334,Boxed Chocolates,CS13_200150
46095,Boxed Chocolates,CS13_200150
46093,Boxed Chocolates,CS13_200150
260723,Boxed Chocolates,CS13_200150
260777,Boxed Chocolates,CS13_200150
260706,Boxed Chocolates,CS13_200150
260707,Boxed Chocolates,CS13_200150
238693,Boxed Chocolates,CS13_200150
239737,Boxed Chocolates,CS13_200150
239027,Boxed Chocolates,CS13_200150
239743,Boxed Chocolates,CS13_200150
250783,Boxed Chocolates,CS13_200150
250784,Boxed Chocolates,CS13_200150
239204,Boxed Chocolates,CS13_200150
